       sales,               date,region
1638,2/6/2018,north
1647,2/6/2018,south
1731,2/6/2018,east
1557,2/6/2018,west
1587,2/7/2018,north
1698,2/7/2018,south
1542,2/7/2018,east
1635,2/7/2018,west
1602,2/8/2018,north
1536,2/8/2018,south
1503,2/8/2018,east
1701,2/8/2018,west
1758,2/9/2018,north
1662,2/9/2018,south
1782,2/9/2018,east
1515,2/9/2018,west
1662,2/10/2018,north
1557,2/10/2018,south
1650,2/10/2018,east
1674,2/10/2018,west
1554,2/11/2018,north
1587,2/11/2018,south
1563,2/11/2018,east
1764,2/11/2018,west
1758,2/12/2018,north
1608,2/12/2018,south
1569,2/12/2018,east
1653,2/12/2018,west
1572,2/13/2018,north
1716,2/13/2018,south
1773,2/13/2018,east
1725,2/13/2018,west
1767,2/14/2018,north
1710,2/14/2018,south
1698,2/14/2018,east
1512,2/14/2018,west
1746,2/15/2018,north
1734,2/15/2018,south
1524,2/15/2018,east
1614,2/15/2018,west
1578,2/16/2018,north
1782,2/16/2018,south
1527,2/16/2018,east
1752,2/16/2018,west
1785,2/17/2018,north
1689,2/17/2018,south
1641,2/17/2018,east
1575,2/17/2018,west
1644,2/18/2018,north
1674,2/18/2018,south
1551,2/18/2018,east
1737,2/18/2018,west
1563,2/19/2018,north
1647,2/19/2018,south
1605,2/19/2018,east
1539,2/19/2018,west
1698,2/20/2018,north
1575,2/20/2018,south
1500,2/20/2018,east
1551,2/20/2018,west
1737,2/21/2018,north
1542,2/21/2018,south
1665,2/21/2018,east
1548,2/21/2018,west
1635,2/22/2018,north
1632,2/22/2018,south
1668,2/22/2018,east
1764,2/22/2018,west
1533,2/23/2018,north
1563,2/23/2018,south
1641,2/23/2018,east
1773,2/23/2018,west
1629,2/24/2018,north
1698,2/24/2018,south
1725,2/24/2018,east
1722,2/24/2018,west
1596,2/25/2018,north
1710,2/25/2018,south
1635,2/25/2018,east
1659,2/25/2018,west
1686,2/26/2018,north
1533,2/26/2018,south
1524,2/26/2018,east
1530,2/26/2018,west
1665,2/27/2018,north
1695,2/27/2018,south
1578,2/27/2018,east
1620,2/27/2018,west
1767,2/28/2018,north
1593,2/28/2018,south
1743,2/28/2018,east
1557,2/28/2018,west
1668,3/1/2018,north
1782,3/1/2018,south
1527,3/1/2018,east
1668,3/1/2018,west
1635,3/2/2018,north
1569,3/2/2018,south
1746,3/2/2018,east
1773,3/2/2018,west
1539,3/3/2018,north
1500,3/3/2018,south
1569,3/3/2018,east
1557,3/3/2018,west
1773,3/4/2018,north
1644,3/4/2018,south
1614,3/4/2018,east
1674,3/4/2018,west
1533,3/5/2018,north
1653,3/5/2018,south
1557,3/5/2018,east
1746,3/5/2018,west
1719,3/6/2018,north
1719,3/6/2018,south
1659,3/6/2018,east
1800,3/6/2018,west
1581,3/7/2018,north
1602,3/7/2018,south
1608,3/7/2018,east
1650,3/7/2018,west
1611,3/8/2018,north
1530,3/8/2018,south
1698,3/8/2018,east
1668,3/8/2018,west
1746,3/9/2018,north
1524,3/9/2018,south
1506,3/9/2018,east
1704,3/9/2018,west
1788,3/10/2018,north
1719,3/10/2018,south
1746,3/10/2018,east
1584,3/10/2018,west
1692,3/11/2018,north
1635,3/11/2018,south
1608,3/11/2018,east
1590,3/11/2018,west
1599,3/12/2018,north
1518,3/12/2018,south
1602,3/12/2018,east
1659,3/12/2018,west
1644,3/13/2018,north
1611,3/13/2018,south
1554,3/13/2018,east
1515,3/13/2018,west
1515,3/14/2018,north
1632,3/14/2018,south
1512,3/14/2018,east
1776,3/14/2018,west
1677,3/15/2018,north
1503,3/15/2018,south
1605,3/15/2018,east
1647,3/15/2018,west
1506,3/16/2018,north
1737,3/16/2018,south
1590,3/16/2018,east
1767,3/16/2018,west
1593,3/17/2018,north
1614,3/17/2018,south
1710,3/17/2018,east
1662,3/17/2018,west
1650,3/18/2018,north
1755,3/18/2018,south
1698,3/18/2018,east
1659,3/18/2018,west
1683,3/19/2018,north
1509,3/19/2018,south
1500,3/19/2018,east
1545,3/19/2018,west
1647,3/20/2018,north
1614,3/20/2018,south
1629,3/20/2018,east
1677,3/20/2018,west
1743,3/21/2018,north
1569,3/21/2018,south
1593,3/21/2018,east
1578,3/21/2018,west
1578,3/22/2018,north
1581,3/22/2018,south
1653,3/22/2018,east
1578,3/22/2018,west
1761,3/23/2018,north
1611,3/23/2018,south
1749,3/23/2018,east
1764,3/23/2018,west
1716,3/24/2018,north
1710,3/24/2018,south
1800,3/24/2018,east
1728,3/24/2018,west
1743,3/25/2018,north
1764,3/25/2018,south
1740,3/25/2018,east
1707,3/25/2018,west
1509,3/26/2018,north
1641,3/26/2018,south
1533,3/26/2018,east
1752,3/26/2018,west
1767,3/27/2018,north
1590,3/27/2018,south
1533,3/27/2018,east
1704,3/27/2018,west
1671,3/28/2018,north
1527,3/28/2018,south
1524,3/28/2018,east
1629,3/28/2018,west
1722,3/29/2018,north
1557,3/29/2018,south
1686,3/29/2018,east
1779,3/29/2018,west
1734,3/30/2018,north
1776,3/30/2018,south
1554,3/30/2018,east
1725,3/30/2018,west
1617,3/31/2018,north
1635,3/31/2018,south
1605,3/31/2018,east
1785,3/31/2018,west
1761,4/1/2018,north
1530,4/1/2018,south
1710,4/1/2018,east
1506,4/1/2018,west
1509,4/2/2018,north
1797,4/2/2018,south
1662,4/2/2018,east
1530,4/2/2018,west
1767,4/3/2018,north
1767,4/3/2018,south
1614,4/3/2018,east
1533,4/3/2018,west
1767,4/4/2018,north
1761,4/4/2018,south
1566,4/4/2018,east
1623,4/4/2018,west
1506,4/5/2018,north
1512,4/5/2018,south
1692,4/5/2018,east
1749,4/5/2018,west
1701,4/6/2018,north
1752,4/6/2018,south
1632,4/6/2018,east
1515,4/6/2018,west
1725,4/7/2018,north
1611,4/7/2018,south
1788,4/7/2018,east
1617,4/7/2018,west
1656,4/8/2018,north
1674,4/8/2018,south
1557,4/8/2018,east
1701,4/8/2018,west
1686,4/9/2018,north
1782,4/9/2018,south
1641,4/9/2018,east
1557,4/9/2018,west
1686,4/10/2018,north
1527,4/10/2018,south
1698,4/10/2018,east
1728,4/10/2018,west
